playlist,title,publishedAt,viewCount,likeCount,dislikeCount,favoriteCount,commentCount,duration
Смешарики 2D. Новый сезон 2021!,Ясень-Пень - Смешарики 2D | Новый сезон | ПРЕМЬЕРА 2021! + БОНУС ПЕСНЯ,2021-03-11T12:30:14Z,437431,12863,580,0,0,542
Смешарики 2D. Новый сезон 2021!,Фотография - Смешарики 2D | Новый сезон | ПРЕМЬЕРА 2021! + БОНУС ПЕСНЯ,2021-03-13T12:00:13Z,332480,10240,432,0,0,599
Смешарики 2D. Новый сезон 2021!,Табу - Смешарики 2D | Новый сезон | ПРЕМЬЕРА 2021! + БОНУС ПЕСНЯ,2021-03-18T12:30:12Z,38483,3468,80,0,399,586
LIVE | Прямые эфиры | Смешарики 2D,🔴 ПРЯМОЙ ЭФИР! LIVE Смешарики 2D | Сборник зимних серий,2021-01-04T23:19:32Z,459414,6806,416,0,0,26720
LIVE | Прямые эфиры | Смешарики 2D,🔴 ПРЯМОЙ ЭФИР! LIVE Смешарики. ПИН - код | Познавательные мультфильмы,2021-01-18T18:12:45Z,497520,4946,465,0,0,19005
LIVE | Прямые эфиры | Смешарики 2D,🔴 ПРЯМОЙ ЭФИР! LIVE Смешарики 2D | Все серии подряд Ч1,2021-01-07T21:32:40Z,474443,5077,464,0,0,21516
LIVE | Прямые эфиры | Смешарики 2D,"🔴 ПРЯМОЙ ЭФИР! LIVE Смешарики 2D | Все серии подряд, мультики для детей",2021-03-15T21:54:41Z,189998,2698,192,0,0,28416
Смешарики 2D. Новый сезон 2020!,Фонтан - Смешарики 2D | Новый сезон | ПРЕМЬЕРА 2020! + БОНУС ПЕСНЯ,2020-12-26T10:00:10Z,1251584,25188,1715,0,0,538
Смешарики 2D. Новый сезон 2020!,Мастер и земляника - Смешарики 2D | ПРЕМЬЕРА 2020!,2020-11-25T07:00:11Z,2018199,31083,2647,0,0,401
Смешарики 2D. Новый сезон 2020!,Пинляндия - Смешарики 2D. Новый сезон | ПРЕМЬЕРА 2020!,2020-12-05T07:00:10Z,1839726,38183,2110,0,0,401
Смешарики 2D. Новый сезон 2020!,Любимый внук - Смешарики 2D | Новый сезон | ПРЕМЬЕРА 2020!,2020-12-15T12:30:10Z,1025687,26963,1055,0,0,399
Смешарики 2D. Новый сезон 2020!,Спокойной ночи - Смешарики 2D | ПРЕМЬЕРА 2020!,2020-11-21T07:00:12Z,1715032,29670,2482,0,0,401
Смешарики 2D. Новый сезон 2020!,Вальхалла - Смешарики 2D. Новый сезон | ПРЕМЬЕРА 2020!,2020-12-12T11:00:11Z,951080,21662,1066,0,0,392
Смешарики 2D. Новый сезон 2020!,Фан-клуб Козетты - Смешарики 2D | Новый сезон | ПРЕМЬЕРА 2020!,2020-12-22T12:00:10Z,770314,16618,816,0,0,399
Смешарики 2D. Новый сезон 2020!,Домашнее животное - Смешарики 2D | Новый сезон | ПРЕМЬЕРА 2020!,2020-12-19T10:00:13Z,945770,18878,1090,0,0,399
Смешарики 2D. Новый сезон 2020!,Великий мимикрятор 🦔 - Смешарики 2D. 🤩 Новый сезон 🤩 | ПРЕМЬЕРА 2020!,2020-12-08T12:00:10Z,865247,23606,954,0,0,401
Смешарики 2D. Новый сезон 2020!,Рок-опера и что-то ещё - Смешарики 2D. Новый сезон | ПРЕМЬЕРА 2020!,2020-12-02T07:00:11Z,877783,19833,1284,0,0,401
Смешарики 2D. Новый сезон 2020!,Волшебный кувшинчик - Смешарики 2D | ПРЕМЬЕРА 2020!,2020-09-15T07:00:10Z,1756908,82148,1673,0,0,401
